reviewr_name,reviewr_url,store_id,store_name,store_address,store_genre,store_tellnum,store_closedday,store_homepage,store_dinner_price_range,store_lunch_price_range,store_score
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,1,壁の穴 札幌ステラプレイス店,北海道札幌市中央区北5条西2-5 札幌ステラプレイス 6F,"パスタ、イタリアン、バル・バール
",-,施設に準ずる,https://www.kabenoana.com,"￥2,000～￥2,999","￥1,000～￥1,999",3.09
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,2,お食事の店 やなせ,北海道札幌市手稲区新発寒5条5-11-7 ,"定食・食堂
",-,日曜・祝日,,-,～￥999,3.36
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,3,春別,北海道小樽市銭函3-186-27 ,"そば、親子丼、天丼・天重
",-,不定休,,-,"￥1,000～￥1,999",3.48
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,4,ラズベリー ベレー,北海道札幌市中央区南2条東1丁目1 Ｍ'ｓ ＥＡＳＴ ２Ｆ,"ダイニングバー
",-,月曜日、第1・3火曜日,http://profile.ameba.jp/rica911,"￥5,000～￥5,999",-,3.34
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,5,生ソーセージバル LECKER ル・トロワ店,北海道札幌市中央区大通西1-13 ル･トロワ 7F,"バル・バール、肉バル、ハンバーグ
",011-221-2929,なし,https://shinwa-holdings.co.jp/lecker/,"￥2,000～￥2,999","￥1,000～￥1,999",3.35
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,6,東,北海道札幌市中央区大通西1 桂和大通ビル50 B2F,"喫茶店
",-,,,～￥999,～￥999,3.25
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,7,赤坂 四川飯店 札幌ガーデンパレス店,北海道札幌市中央区北一条西6 ホテル札幌ガーデンパレス　１Ｆ,"四川料理、担々麺、中華料理
",-,水曜日,http://www.hotelgp-sapporo.com/,"￥6,000～￥7,999","￥1,000～￥1,999",3.54
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,8,かつてん 桑園イオン店,北海道札幌市中央区北八条西14丁目28 イオン札幌桑園ショッピングセンター 1F,"かつ丼・かつ重、親子丼、天丼・天重
",-,年中無休,http://www.aeon.jp/sc/sapporosoen/s-win/1-14.html,～￥999,～￥999,3.06
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,9,海小屋 夕陽,北海道日高郡新ひだか町三石鳧舞344-6 ,"ラーメン、和食（その他）、中華料理
",-,水曜日、第1・3木曜日,https://umigoya-yuhi.webnode.jp/,-,"￥1,000～￥1,999",-
kabo-cha(1606),https://tabelog.com/rvwr/001196582/,10,暖龍 新道店,北海道札幌市東区北三十三条東18-2 ,"中華料理
",-,無休,http://www.danryu.net/,"￥2,000～￥2,999",～￥999,3.16
