reviewr_name,reviewr_url,store_id,store_name,store_address,store_genre,store_tellnum,store_closedday,store_homepage,store_dinner_price_range,store_lunch_price_range,store_score
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,1,駅弁屋 大宮4号売店,埼玉県さいたま市大宮区錦町630 JR大宮駅 新幹線北乗換え口,"弁当
",-,年中無休,http://www.nre.co.jp/shop/db/detail_00108/,～￥999,～￥999,3.32
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,2,えきべん処 金澤店,石川県金沢市広岡町1-7-1 ,"弁当、おにぎり
",-,無休,https://www.100bangai.co.jp/tenantinfo/えきべん処金澤/,～￥999,～￥999,3.44
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,3,セブンイレブン ハートインJR金沢駅店,石川県金沢市広岡1-7-1 JR金沢駅 金沢百番街 あんと 西 1F,"その他
",-,年中無休,https://www.sej.co.jp/shop/,～￥999,～￥999,3.07
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,4,餃子菜館 勝ちゃん,石川県小松市土居原町395 ,"餃子、中華料理
",-,水曜,,"￥1,000～￥1,999","￥1,000～￥1,999",3.50
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,5,今庄そば 武生店,福井県越前市府中1-1-1 ＪＲ武生駅構内,"そば、うどん、おにぎり
",-,,,-,～￥999,3.32
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,6,しゅんしゅんめん,福井県鯖江市東鯖江1-506 ,"ラーメン
",-,月曜,,"￥1,000～￥1,999","￥1,000～￥1,999",3.11
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,7,越前食房 酔ってけ家,福井県鯖江市日の出町1-10 ,"魚介料理・海鮮料理、居酒屋
",-,木曜,http://www.yottekeya.com/,"￥6,000～￥7,999",-,3.53
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,8,一乗谷レストラント,福井県福井市城戸ノ内町10-48 ,"郷土料理（その他）、西洋各国料理（その他）、懐石・会席料理
",-,火曜日（祝日等で営業した場合、翌水曜日）,https://www.asakura-fukui.com/,-,"￥1,000～￥1,999",3.27
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,9,今庄そば 福井駅改札外店,福井県福井市中央1-1-1 ,"立ち食いそば
",-,,,～￥999,～￥999,3.43
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,10,さのや 片町店,福井県福井市順化2-12-19 ,"そば、かつ丼・かつ重
",-,日・祝日(GWは営業),http://www.fuku-e.com/030_gourmet/index.php?id=479,～￥999,～￥999,3.42
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,11,寿司政,福井県福井市順化1-12-1 ,"寿司、魚介料理・海鮮料理、割烹・小料理
",-,,,"￥3,000～￥3,999","￥8,000～￥9,999",3.52
タキトゥス(1699),https://tabelog.com/rvwr/000349641/,12,三国競艇フードコート,福井県坂井市三国町池上80-1 三国競艇,"定食・食堂、そば・うどん・麺類（その他）
",-,不定休,,-,"￥1,000～￥1,999",3.10
