store_name,store_address,store_genre,store_dinner_price_range,store_lunch_price_range,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,restaurant_local_popular,restaurant_local_cnt,store_review_cnt,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9,sn10,sn11,sn12,local_food_name,img_url,store_homepage,tabelog_url
蛸焼こがね,北海道函館市宝来町22-1 , たこ焼き,999,60000,1,1,1,1,1,1,1,1,1,1,2,2,2.0,2.0,1.0,1,1,1,1,1,1,1,2.0,2.5,2,2,1,1,1,1,1,1,1,1,2,3,2,1.5,2,マダラ　ワカサギ　,マダラ　ワカサギ　,ワカサギ　,,,,,,,,タコ　ワカサギ　,タコ　マダラ　ワカサギ　,['タコ'],https://tblg.k-img.com/restaurant/images/Rvw/160578/320x320_square_160578778.jpg,http://www.hakobura.jp/db/db-food/2009/03/post-147.html,https://tabelog.com/hokkaido/A0105/A010501/1003605/
アジアンキッチン チェーズ,北海道函館市松風町7 , 無国籍料理、東南アジア料理（その他）、アジア・エスニック料理（その他）,"2,999",60000,1,1,2,2,2,2,1,1,1,1,1,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,2,1.5,2,イカ　,イカ　,エビ　イカ　,エビ　,エビ　,エビ　イカ　,イカ　,イカ　,,,ブリ　,ブリ　,['イカ'],https://tblg.k-img.com/restaurant/images/Rvw/156298/320x320_square_156298491.jpg,http://www.hakodate-yatai.com/shops/cheez/,https://tabelog.com/hokkaido/A0105/A010501/1004011/
居酒屋　気腹志,北海道函館市梁川町22-1 , 居酒屋,"3,999","3,999",3,3,3,1,1,3,3,3,1,2,2,2,3,3,4,2.5,2.5,3,2.5,2.5,2.0,2.0,2.0,3,2,2,2,2,2,1,1,1,1,3,3,3,3,3.5,2,イカ　ホタテガイ　マナマコ　ホテイウオ　,イカ　ホタテガイ　マナマコ　ホテイウオ　,イカ　エビ　ホタテガイ　ホッケ　ホテイウオ　ウニ　,エビ　ホッケ　ウニ　,エビ　ホッケ　ウニ　,イカ　エビ　ウバガイ　ウニ　,イカ　ウバガイ　ウニ　,イカ　ウバガイ　ウニ　,ウバガイ　ウニ　,クロマグロ　シシャモ　,クロマグロ　シシャモ　,クロマグロ　ホタテガイ　マナマコ　ホテイウオ　,"['イカ', 'ウバガイ', 'ホッケ', 'ホテイウオ', 'ウニ']",https://tblg.k-img.com/restaurant/images/Rvw/129480/320x320_square_129480604.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1016376/
Bell,北海道函館市本町9-5 MC1ビル 1F, スープカレー,"1,999",60000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/153624/320x320_square_153624389.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1066175/
そば処ふでむら 五稜郭店,北海道函館市五稜郭町36-1 , 居酒屋、魚介料理・海鮮料理、そば,"3,999",999,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,2,3,3,1,1.5,2,イカ　,イカ　,イカ　エビ　,エビ　,エビ　,イカ　エビ　,イカ　,イカ　,,クロマグロ　,ブリ　クロマグロ　,ブリ　クロマグロ　,['イカ'],https://tblg.k-img.com/restaurant/images/Rvw/39593/320x320_square_39593472.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1021462/
大戸屋 函館漁火通り店,北海道函館市宇賀浦町7-5 , 定食・食堂、うどん、そば,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,,,,,,,,,,クロマグロ　,クロマグロ　,クロマグロ　,[],https://tblg.k-img.com/restaurant/images/Rvw/146599/320x320_square_146599597.jpg,http://www.ootoya.com/index.html,https://tabelog.com/hokkaido/A0105/A010501/1049293/
ブルースカイ 函館空港 出発ロビー店,北海道函館市高松町511 函館空港 国内線旅客ターミナルビル 2F, その他,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,,,ウニ　,ウニ　,ウニ　,ウニ　,ウニ　,ウニ　,ウニ　,,,,['ウニ'],https://tblg.k-img.com/restaurant/images/Rvw/151046/320x320_square_151046279.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1039521/
パン&ケーキ エトワール,北海道函館市桔梗4-3-46 , パン、ケーキ,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,キュウリウオ　,キュウリウオ　,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/77682/320x320_square_77682058.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1040636/
代志川,北海道函館市五稜郭町10-12 , 和食（その他）、割烹・小料理,60000,"2,999",1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,,,,キュウリウオ　,キュウリウオ　,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/149317/320x320_square_149317001.jpg,http://ameblo.jp/nikolaschika0424/,
手打ちうどん そば 上野,北海道函館市湯川町1-23-6 , うどん、カレーうどん、そば,60000,"1,999",1,1,2,2,2,2,1,1,1,1,1,1,1.0,1.0,2.0,1.0,2.0,2.5,2.0,2.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,イカ　,イカ　,エビ　イカ　,エビ　,エビ　マイワシ　,エビ　マイワシ　イカ　,マイワシ　イカ　,マイワシ　イカ　,マイワシ　,,,,"['マイワシ', 'イカ']",https://tblg.k-img.com/restaurant/images/Rvw/148226/320x320_square_148226713.jpg,http://www.hakobura.jp/db/db-food/2009/03/post-134.html,https://tabelog.com/hokkaido/A0105/A010501/1001627/
